Frame,Stick X,Stick Y,Button Mask,Buttons Pressed
434,0,0,0x0800,D-Up
435,0,0,0x0800,D-Up
436,0,0,0x0800,D-Up
437,0,0,0x0800,D-Up
438,0,0,0x0800,D-Up
439,0,0,0x0800,D-Up
440,0,0,0x0800,D-Up
441,0,0,0x0800,D-Up
442,0,0,0x0800,D-Up
443,0,0,0x0800,D-Up
444,0,0,0x0800,D-Up
445,0,0,0x0800,D-Up
446,0,0,0x0800,D-Up
447,0,0,0x0800,D-Up
448,0,0,0x0800,D-Up
449,0,0,0x0800,D-Up
450,0,0,0x0800,D-Up
451,0,0,0x0800,D-Up
452,0,0,0x0800,D-Up
453,0,0,0x0800,D-Up
454,0,0,0x0800,D-Up
455,0,0,0x0800,D-Up
456,0,0,0x0800,D-Up
457,0,0,0x0800,D-Up
458,0,0,0x0800,D-Up
459,0,0,0x0800,D-Up
460,0,0,0x0800,D-Up
461,0,0,0x0800,D-Up
462,0,0,0x0800,D-Up
463,0,0,0x0800,D-Up
464,0,0,0x0800,D-Up
465,0,0,0x0800,D-Up
466,0,0,0x0800,D-Up
467,0,0,0x0800,D-Up
468,0,0,0x0800,D-Up
469,0,0,0x0800,D-Up
470,0,0,0x0800,D-Up
471,0,0,0x0800,D-Up
472,0,0,0x0800,D-Up
473,0,0,0x0800,D-Up
474,0,0,0x0800,D-Up
475,0,0,0x0800,D-Up
476,0,0,0x0800,D-Up
477,0,0,0x0800,D-Up
478,0,0,0x0800,D-Up
479,0,0,0x0800,D-Up
480,0,0,0x0800,D-Up
481,0,0,0x0800,D-Up
482,0,0,0x0800,D-Up
483,0,0,0x0800,D-Up
484,0,0,0x0800,D-Up
485,0,0,0x0800,D-Up
486,0,0,0x0800,D-Up
487,0,0,0x0800,D-Up
488,0,0,0x0800,D-Up
489,0,0,0x0800,D-Up
490,0,0,0x0800,D-Up
491,0,0,0x0800,D-Up
492,0,0,0x0800,D-Up
493,0,0,0x0800,D-Up
494,0,0,0x0800,D-Up
495,0,0,0x0800,D-Up
496,0,0,0x0800,D-Up
497,0,0,0x0800,D-Up
498,0,0,0x0800,D-Up
499,0,0,0x0800,D-Up
500,0,0,0x0800,D-Up
501,0,0,0x0400,D-Down
502,0,0,0x0400,D-Down
503,0,0,0x0400,D-Down
504,0,0,0x0400,D-Down
505,0,0,0x0400,D-Down
506,0,0,0x0400,D-Down
507,0,0,0x0400,D-Down
508,0,0,0x0400,D-Down
509,0,0,0x0400,D-Down
510,0,0,0x0400,D-Down
511,0,0,0x0400,D-Down
512,0,0,0x0400,D-Down
513,0,0,0x0400,D-Down
514,0,0,0x0400,D-Down
515,0,0,0x0400,D-Down
516,0,0,0x0400,D-Down
517,0,0,0x0400,D-Down
518,0,0,0x0400,D-Down
519,0,0,0x0400,D-Down
520,0,0,0x0400,D-Down
521,0,0,0x0400,D-Down
522,0,0,0x0400,D-Down
523,0,0,0x0400,D-Down
524,0,0,0x0400,D-Down
525,0,0,0x0400,D-Down
526,0,0,0x0400,D-Down
527,0,0,0x0400,D-Down
528,0,0,0x0400,D-Down
529,0,0,0x0400,D-Down
530,0,0,0x0400,D-Down
531,0,0,0x0400,D-Down
532,0,0,0x0400,D-Down
533,0,0,0x0400,D-Down
534,0,0,0x0400,D-Down
535,0,0,0x0400,D-Down
536,0,0,0x0400,D-Down
537,0,0,0x0400,D-Down
538,0,0,0x0400,D-Down
539,0,0,0x0400,D-Down
540,0,0,0x0400,D-Down
541,0,0,0x0400,D-Down
542,0,0,0x0400,D-Down
543,0,0,0x0400,D-Down
544,0,0,0x0400,D-Down
545,0,0,0x0400,D-Down
546,0,0,0x0400,D-Down
547,0,0,0x0400,D-Down
548,0,0,0x0400,D-Down
549,0,0,0x0400,D-Down
550,0,0,0x0400,D-Down
551,0,0,0x0400,D-Down
552,0,0,0x0400,D-Down
553,0,0,0x0400,D-Down
554,0,0,0x0400,D-Down
555,0,0,0x0400,D-Down
556,0,0,0x0400,D-Down
557,0,0,0x0400,D-Down
558,0,0,0x0400,D-Down
559,0,0,0x0400,D-Down
560,0,0,0x0400,D-Down
561,0,0,0x0400,D-Down
562,0,0,0x0400,D-Down
563,0,0,0x0400,D-Down
564,0,0,0x0400,D-Down
565,0,0,0x0400,D-Down
566,0,0,0x0400,D-Down
567,0,0,0x0400,D-Down
568,0,0,0x0400,D-Down
569,0,0,0x0400,D-Down
570,0,0,0x0400,D-Down
571,0,0,0x0400,D-Down
572,0,0,0x0400,D-Down
573,0,0,0x0400,D-Down
574,0,0,0x0400,D-Down
575,0,0,0x0400,D-Down
576,0,0,0x0400,D-Down
577,0,0,0x0400,D-Down
578,0,0,0x0400,D-Down
579,0,0,0x0400,D-Down
580,0,0,0x0400,D-Down
581,0,0,0x0400,D-Down
582,0,0,0x0400,D-Down
583,0,0,0x0400,D-Down
584,0,0,0x0400,D-Down
585,0,0,0x0400,D-Down
586,0,0,0x0400,D-Down
587,0,0,0x0400,D-Down
588,0,0,0x0400,D-Down
589,0,0,0x0400,D-Down
590,0,0,0x0400,D-Down
591,0,0,0x0400,D-Down
592,0,0,0x0400,D-Down
593,0,0,0x0400,D-Down
594,0,0,0x0400,D-Down
595,0,0,0x0400,D-Down
596,0,0,0x0400,D-Down
597,0,0,0x0400,D-Down
598,0,0,0x0400,D-Down
599,0,0,0x0400,D-Down
600,0,0,0x0400,D-Down
601,0,0,0x0200,D-Left
602,0,0,0x0200,D-Left
603,0,0,0x0200,D-Left
604,0,0,0x0200,D-Left
605,0,0,0x0200,D-Left
606,0,0,0x0200,D-Left
607,0,0,0x0200,D-Left
608,0,0,0x0200,D-Left
609,0,0,0x0200,D-Left
610,0,0,0x0200,D-Left
611,0,0,0x0200,D-Left
